,fips,valid_start,valid_end,none,d0,d1,d2,d4,diff
79,1011,2014-07-29,2015-01-05,1423.0900000000006,876.91,0.0,0.0,0.0,160 days 00:00:00.000000000
80,1011,2015-01-20,2015-06-01,922.2299999999999,963.01,14.76,0.0,0.0,132 days 00:00:00.000000000
81,1011,2015-07-21,2015-09-28,630.8000000000001,369.1999999999999,0.0,0.0,0.0,69 days 00:00:00.000000000
82,1011,2015-10-20,2015-11-02,196.08,3.92,0.0,0.0,0.0,13 days 00:00:00.000000000
83,1011,2015-12-15,2015-12-21,35.120000000000005,64.88,0.0,0.0,0.0,6 days 00:00:00.000000000
84,1011,2016-06-28,2016-08-08,458.34999999999997,141.64999999999998,0.0,0.0,0.0,41 days 00:00:00.000000000
85,1011,2016-08-16,2017-02-27,725.6000000000001,386.46999999999986,479.03000000000003,562.3299999999999,6.09,195 days 00:00:00.000000000
86,1011,2017-03-28,2017-06-12,179.81,420.19,500.0,0.0,0.0,76 days 00:00:00.000000000
87,1011,2017-12-26,2018-01-01,3.86,96.14,0.0,0.0,0.0,6 days 00:00:00.000000000
88,1013,2010-04-06,2010-05-03,0.0,400.0,0.0,0.0,0.0,27 days 00:00:00.000000000
89,1013,2010-07-06,2012-09-03,474.3399999999999,1839.2599999999998,4455.269999999999,3815.57,0.0,790 days 00:00:00.000000000
90,1013,2012-10-23,2013-02-25,283.0,805.7199999999999,711.2800000000002,0.0,0.0,125 days 00:00:00.000000000
91,1013,2013-05-28,2013-07-01,182.64,317.36,0.0,0.0,0.0,34 days 00:00:00.000000000
92,1013,2013-10-29,2014-01-13,163.91,656.1600000000001,279.92999999999995,0.0,0.0,76 days 00:00:00.000000000
93,1013,2014-01-28,2014-02-17,187.87,112.13000000000001,0.0,0.0,0.0,20 days 00:00:00.000000000
94,1013,2014-03-11,2014-04-07,396.52,3.48,0.0,0.0,0.0,27 days 00:00:00.000000000
95,1013,2014-07-29,2015-06-01,1609.79,2657.599999999999,132.51000000000002,0.1,0.0,307 days 00:00:00.000000000
96,1013,2015-07-21,2015-11-09,677.6200000000001,881.52,40.86,0.0,0.0,111 days 00:00:00.000000000
97,1013,2016-09-06,2017-02-27,750.24,633.3900000000001,452.77000000000004,207.33999999999997,0.0,174 days 00:00:00.000000000
98,1013,2017-03-21,2017-05-22,367.18,511.90999999999997,20.91,0.0,0.0,62 days 00:00:00.000000000
99,1013,2017-11-28,2018-01-01,226.95,273.05,0.0,0.0,0.0,34 days 00:00:00.000000000
100,1015,2010-07-06,2011-03-28,689.14,1027.9699999999998,2052.1500000000005,30.76,0.0,265 days 00:00:00.000000000
101,1015,2011-05-17,2011-07-25,196.02999999999997,786.18,17.79,0.0,0.0,69 days 00:00:00.000000000
102,1015,2011-08-02,2011-11-28,577.4800000000001,917.2,205.31999999999994,0.0,0.0,118 days 00:00:00.000000000
103,1015,2011-12-13,2012-01-16,496.45000000000005,3.55,0.0,0.0,0.0,34 days 00:00:00.000000000
104,1015,2012-02-14,2012-02-20,99.38,0.62,0.0,0.0,0.0,6 days 00:00:00.000000000
105,1015,2012-03-20,2013-02-04,492.34999999999997,909.4799999999999,2052.8300000000004,1138.5799999999997,0.0,321 days 00:00:00.000000000
106,1015,2013-10-29,2013-11-25,389.03,10.97,0.0,0.0,0.0,27 days 00:00:00.000000000
107,1015,2014-03-04,2014-04-07,498.09000000000003,1.9099999999999997,0.0,0.0,0.0,34 days 00:00:00.000000000
108,1015,2014-07-15,2014-12-29,1205.1,1188.5400000000002,6.360000000000001,0.0,0.0,167 days 00:00:00.000000000
109,1015,2015-06-23,2015-07-06,69.14,130.86,0.0,0.0,0.0,13 days 00:00:00.000000000
110,1015,2015-07-14,2015-11-02,333.64000000000004,1266.3600000000004,0.0,0.0,0.0,111 days 00:00:00.000000000
111,1015,2016-05-03,2017-05-22,42.11999999999999,623.48,1643.2400000000005,1635.0899999999997,1155.31,384 days 00:00:00.000000000
112,1015,2017-11-28,2018-01-01,290.53,209.47,0.0,0.0,0.0,34 days 00:00:00.000000000
113,1017,2010-04-20,2010-04-26,8.75,91.25,0.0,0.0,0.0,6 days 00:00:00.000000000
114,1017,2010-07-06,2013-03-25,52.750000000000014,678.2900000000001,1417.6199999999994,4658.560000000001,922.05,993 days 00:00:00.000000000
115,1017,2013-11-05,2013-12-23,36.43000000000001,663.5699999999999,0.0,0.0,0.0,48 days 00:00:00.000000000
116,1017,2014-03-04,2014-04-07,231.17999999999995,268.82,0.0,0.0,0.0,34 days 00:00:00.000000000
117,1017,2014-07-15,2015-01-05,113.9700000000001,1326.1000000000001,1059.93,0.0,0.0,174 days 00:00:00.000000000
118,1017,2015-01-20,2015-06-15,545.56,1554.4400000000003,0.0,0.0,0.0,146 days 00:00:00.000000000
119,1017,2015-07-21,2015-08-31,500.1600000000001,98.86000000000001,0.98,0.0,0.0,41 days 00:00:00.000000000
120,1017,2015-10-13,2015-11-02,74.16,225.84,0.0,0.0,0.0,20 days 00:00:00.000000000
121,1017,2015-12-15,2015-12-21,25.90000000000001,74.1,0.0,0.0,0.0,6 days 00:00:00.000000000
122,1017,2016-05-17,2017-05-29,170.32,1284.0399999999997,1430.0400000000002,1182.6399999999999,904.0899999999999,377 days 00:00:00.000000000
123,1017,2017-12-26,2018-01-01,31.099999999999994,68.9,0.0,0.0,0.0,6 days 00:00:00.000000000
124,1019,2010-07-06,2011-03-28,126.08,1501.1200000000003,2150.35,22.45,0.0,265 days 00:00:00.000000000
125,1019,2011-05-24,2011-11-28,1600.2699999999998,984.4400000000005,114.74999999999999,0.54,0.0,188 days 00:00:00.000000000
126,1019,2012-03-20,2013-02-04,1044.6000000000004,2204.520000000001,1274.0100000000007,76.94000000000001,0.0,321 days 00:00:00.000000000
127,1019,2013-10-29,2013-11-25,310.14,89.86,0.0,0.0,0.0,27 days 00:00:00.000000000
