,fips,valid_start,valid_end,none,d0,d1,d2,d3,d4,diff
128,1019,2014-04-01,2014-04-07,98.17,1.83,0.0,0.0,0.0,0.0,6 days 00:00:00.000000000
129,1019,2014-06-03,2014-06-30,95.9625,4.0375,0.0,0.0,0.0,0.0,27 days 00:00:00.000000000
130,1019,2014-09-02,2014-10-13,95.22833333333334,4.7716666666666665,0.0,0.0,0.0,0.0,41 days 00:00:00.000000000
131,1019,2014-11-11,2014-11-17,75.13,24.87,0.0,0.0,0.0,0.0,6 days 00:00:00.000000000
132,1019,2015-01-20,2015-04-27,421.40999999999997,278.59,0.0,0.0,0.0,0.0,97 days 00:00:00.000000000
133,1019,2015-05-12,2015-06-01,53.22333333333333,46.77666666666667,0.0,0.0,0.0,0.0,20 days 00:00:00.000000000
134,1019,2015-06-23,2015-10-26,56.625,177.9616666666667,65.41333333333334,0.0,0.0,0.0,125 days 00:00:00.000000000
135,1019,2016-05-03,2017-05-22,217.95,379.19000000000005,1183.1899999999996,2101.5099999999998,574.46,1043.7099999999998,384 days 00:00:00.000000000
136,1019,2017-09-05,2017-09-11,87.84,12.16,0.0,0.0,0.0,0.0,6 days 00:00:00.000000000
137,1019,2017-11-28,2018-01-01,55.89,44.11,0.0,0.0,0.0,0.0,34 days 00:00:00.000000000
138,1021,2010-07-06,2013-02-25,592.1149999999998,757.8466666666671,451.8916666666668,336.4983333333333,161.64500000000004,0.0,965 days 00:00:00.000000000
139,1021,2013-06-11,2013-07-15,6.540000000000002,93.46000000000001,0.0,0.0,0.0,0.0,34 days 00:00:00.000000000
140,1021,2013-10-01,2013-10-07,68.88,31.12,0.0,0.0,0.0,0.0,6 days 00:00:00.000000000
141,1021,2014-03-11,2014-04-07,27.379999999999995,72.62,0.0,0.0,0.0,0.0,27 days 00:00:00.000000000
142,1021,2014-07-22,2015-01-05,34.175,296.9616666666666,68.86333333333333,0.0,0.0,0.0,167 days 00:00:00.000000000
143,1021,2015-01-20,2015-04-20,968.0900000000004,331.91,0.0,0.0,0.0,0.0,90 days 00:00:00.000000000
144,1021,2015-05-12,2015-06-01,65.08333333333333,34.916666666666664,0.0,0.0,0.0,0.0,20 days 00:00:00.000000000
145,1021,2015-08-04,2015-11-09,207.965,492.035,0.0,0.0,0.0,0.0,97 days 00:00:00.000000000
146,1021,2016-06-07,2017-05-22,320.19499999999994,817.4699999999997,712.6000000000001,253.845,301.06,94.83000000000001,349 days 00:00:00.000000000
147,1021,2017-11-28,2018-01-01,0.0,100.0,0.0,0.0,0.0,0.0,34 days 00:00:00.000000000
148,1023,2010-04-27,2010-05-03,63.29,36.71,0.0,0.0,0.0,0.0,6 days 00:00:00.000000000
149,1023,2010-07-27,2010-08-23,91.92750000000001,8.0725,0.0,0.0,0.0,0.0,27 days 00:00:00.000000000
150,1023,2010-09-14,2011-04-04,44.836,68.73799999999999,390.994,75.44000000000001,0.0,0.0,202 days 00:00:00.000000000
151,1023,2011-04-26,2011-08-08,107.72333333333334,241.87999999999997,124.70666666666665,25.69333333333333,0.0,0.0,104 days 00:00:00.000000000
152,1023,2011-08-30,2011-09-05,97.3,2.7,0.0,0.0,0.0,0.0,6 days 00:00:00.000000000
153,1023,2011-10-25,2012-01-23,291.71000000000004,896.5600000000001,111.73,0.0,0.0,0.0,90 days 00:00:00.000000000
154,1023,2012-02-07,2012-03-26,604.1299999999999,95.73000000000002,0.14,0.0,0.0,0.0,48 days 00:00:00.000000000
155,1023,2012-05-01,2012-06-11,64.82833333333333,35.17166666666667,0.0,0.0,0.0,0.0,41 days 00:00:00.000000000
156,1023,2012-06-26,2012-08-06,35.696666666666665,64.3,0.0033333333333333335,0.0,0.0,0.0,41 days 00:00:00.000000000
157,1023,2012-12-04,2013-02-11,172.0575,77.9425,0.0,0.0,0.0,0.0,69 days 00:00:00.000000000
158,1023,2013-06-25,2013-07-15,99.53000000000002,0.47,0.0,0.0,0.0,0.0,20 days 00:00:00.000000000
159,1023,2013-09-17,2013-09-30,68.8,31.2,0.0,0.0,0.0,0.0,13 days 00:00:00.000000000
160,1023,2014-01-28,2014-02-10,0.0,100.0,0.0,0.0,0.0,0.0,13 days 00:00:00.000000000
161,1023,2014-08-05,2015-04-20,1784.14,1235.6899999999998,680.17,0.0,0.0,0.0,258 days 00:00:00.000000000
162,1023,2015-05-05,2015-05-18,86.53999999999999,13.46,0.0,0.0,0.0,0.0,13 days 00:00:00.000000000
163,1023,2015-08-11,2015-11-02,78.60333333333334,83.47333333333333,37.92333333333333,0.0,0.0,0.0,83 days 00:00:00.000000000
164,1023,2016-05-24,2017-05-08,342.09499999999997,1343.4,316.925,236.21999999999997,261.37,0.0,349 days 00:00:00.000000000
